Categoria,Nome do Produto,Descrição,Estoque Disponível,Preço Unitário (R$),Preço em USD ($),Imposto de Importação (%),ICMS (%),IPI (%),PIS (%),COFINS (%),Total de Impostos (%),Preço Final c/ Impostos (R$)
Eletrônicos,Smartphone Samsung Galaxy S23 128GB,Smartphone com câmera tripla de 50MP, tela AMOLED 6.1'' e processador Snapdragon 8 Gen 2.,45,3999.90,769.21,20%,"18,00%","5,00%","1,65%","7,60%",52.25,6088.14
Processador,Processador Intel Core i3 Gamer,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,21.0,2631.26,515.93,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3769.28
Processador,Processador Intel Core i3 Lite,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,100.0,291.14,57.09,12%,"18,00%","4,00%","1,65%","7,60%",43.25,417.06
Processador,Processador Intel Core i3 Edition,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,56.0,3376.87,662.13,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4837.37
Processador,Processador Intel Core i5 Edition,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,56.0,826.28,162.02,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1183.65
Processador,Processador Intel Core i5 Plus,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,48.0,3304.14,647.87,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4733.18
Processador,Processador Intel Core i5 Edition,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,67.0,4980.19,976.51,12%,"18,00%","4,00%","1,65%","7,60%",43.25,7134.12
Processador,Processador Intel Core i7,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,26.0,4109.85,805.85,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5887.36
Processador,Processador Intel Core i7 Pro,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,85.0,4057.68,795.62,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5812.63
Processador,Processador Intel Core i7 Plus,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,78.0,2049.14,401.79,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2935.39
Processador,Processador Intel Core i9 Lite,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,33.0,2642.48,518.13,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3785.35
Processador,Processador Intel Core i9 Lite,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,86.0,671.97,131.76,12%,"18,00%","4,00%","1,65%","7,60%",43.25,962.6
Processador,Processador Intel Core i9 Pro,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,64.0,4656.4,913.02,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6670.29
Processador,Processador Intel Core i9,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,97.0,4576.74,897.4,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6556.18
Processador,Processador AMD Ryzen 3 Lite,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,72.0,1913.22,375.14,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2740.69
Processador,Processador AMD Ryzen 3 Plus,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,24.0,3252.39,637.72,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4659.05
Processador,Processador AMD Ryzen 3 Lite,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,35.0,1182.48,231.86,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1693.9
Processador,Processador AMD Ryzen 5 Edition,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,92.0,1566.26,307.11,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2243.67
Processador,Processador AMD Ryzen 5,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,73.0,911.59,178.74,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1305.85
Processador,Processador AMD Ryzen 5 Pro,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,70.0,614.62,120.51,12%,"18,00%","4,00%","1,65%","7,60%",43.25,880.44
Processador,Processador AMD Ryzen 5 Edition,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,19.0,295.89,58.02,12%,"18,00%","4,00%","1,65%","7,60%",43.25,423.86
Processador,Processador AMD Ryzen 7 Gamer,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,79.0,3035.56,595.21,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4348.44
Processador,Processador AMD Ryzen 7 Lite,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,54.0,3676.52,720.89,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5266.61
Processador,Processador AMD Ryzen 9 Plus,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,42.0,1191.02,233.53,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1706.14
Processador,Processador AMD Ryzen 9 Lite,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,57.0,2890.95,566.85,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4141.29
Processador,Processador AMD Ryzen 9 Edition,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,61.0,1873.28,367.31,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2683.47
Processador,Processador AMD Ryzen 9 Pro,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,16.0,4342.18,851.41,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6220.17
Placa-Mãe,Placa-Mãe ASUS Lite,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,11.0,487.82,95.65,12%,"18,00%","4,00%","1,65%","7,60%",43.25,698.8
Placa-Mãe,Placa-Mãe ASUS Lite,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,30.0,723.66,141.89,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1036.64
Placa-Mãe,Placa-Mãe ASUS Pro,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,88.0,4084.96,800.97,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5851.71
Placa-Mãe,Placa-Mãe Gigabyte Edition,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,63.0,4628.97,907.64,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6631.0
Placa-Mãe,Placa-Mãe Gigabyte Lite,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,24.0,2812.17,551.41,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4028.43
Placa-Mãe,Placa-Mãe MSI,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,44.0,1363.75,267.4,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1953.57
Placa-Mãe,Placa-Mãe MSI Plus,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,93.0,693.51,135.98,12%,"18,00%","4,00%","1,65%","7,60%",43.25,993.45
Placa-Mãe,Placa-Mãe ASRock Lite,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,50.0,3254.88,638.21,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4662.62
Placa-Mãe,Placa-Mãe ASRock Edition,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,88.0,1025.35,201.05,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1468.81
Placa-Mãe,Placa-Mãe ASRock Pro,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,55.0,1034.49,202.84,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1481.91
Placa-Mãe,Placa-Mãe ASRock Pro,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,35.0,2002.79,392.7,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2869.0
Placa-Mãe,Placa-Mãe Biostar Edition,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,47.0,3965.59,777.57,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5680.71
Placa-Mãe,Placa-Mãe Biostar Edition,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,33.0,3576.17,701.21,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5122.86
Placa-Mãe,Placa-Mãe Biostar Gamer,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,38.0,3346.88,656.25,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4794.41
Placa-Mãe,Placa-Mãe Biostar Pro,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,12.0,4355.18,853.96,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6238.8
Memória RAM,Memória RAM Kingston Pro,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,82.0,2864.25,561.62,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4103.04
Memória RAM,Memória RAM Kingston Plus,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,52.0,1322.23,259.26,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1894.09
Memória RAM,Memória RAM Corsair Gamer,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,61.0,3279.17,642.97,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4697.41
Memória RAM,Memória RAM Corsair Gamer,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,47.0,4511.14,884.54,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6462.21
